timestamp,target,item_id
2021-01-01 00:00:00,-1.3378,A
2021-01-01 01:00:00,-1.6111,A
2021-01-01 02:00:00,-1.9259,A
2021-01-01 03:00:00,-1.9184,A
2021-01-01 04:00:00,-1.9168,A
2021-01-01 05:00:00,-1.9681,A
2021-01-01 06:00:00,-1.7846,A
2021-01-01 07:00:00,-1.5927,A
2021-01-01 08:00:00,-1.2477,A
2021-01-01 09:00:00,-0.9560,A
2021-01-01 10:00:00,-0.5371,A
2021-01-01 11:00:00,-0.0635,A
2021-01-01 12:00:00,0.2484,A
2021-01-01 13:00:00,0.6201,A
2021-01-01 14:00:00,0.5023,A
2021-01-01 15:00:00,1.0044,A
2021-01-01 16:00:00,0.8535,A
2021-01-01 17:00:00,0.8180,A
2021-01-01 18:00:00,0.8154,A
2021-01-01 19:00:00,0.7080,A
2021-01-01 20:00:00,0.6353,A
2021-01-01 21:00:00,0.2325,A
2021-01-01 22:00:00,-0.0448,A
2021-01-01 23:00:00,-0.2539,A
2021-01-02 00:00:00,-0.5301,A
2021-01-02 01:00:00,-0.5604,A
2021-01-02 02:00:00,-0.8344,A
2021-01-02 03:00:00,-0.5720,A
2021-01-02 04:00:00,-0.5604,A
2021-01-02 05:00:00,-0.4882,A
2021-01-02 06:00:00,-0.2409,A
2021-01-02 07:00:00,0.0567,A
2021-01-02 08:00:00,0.3953,A
2021-01-02 09:00:00,0.7209,A
2021-01-02 10:00:00,0.9360,A
2021-01-02 11:00:00,1.1985,A
2021-01-02 12:00:00,1.4179,A
2021-01-02 13:00:00,1.6294,A
2021-01-02 14:00:00,1.6792,A
2021-01-02 15:00:00,1.5665,A
2021-01-02 16:00:00,1.4542,A
2021-01-02 17:00:00,1.3784,A
2021-01-02 18:00:00,1.0784,A
2021-01-02 19:00:00,0.7094,A
2021-01-02 20:00:00,0.3757,A
2021-01-02 21:00:00,0.1000,A
2021-01-02 22:00:00,-0.3805,A
2021-01-02 23:00:00,-0.9351,A
2021-01-03 00:00:00,-1.2102,A
2021-01-03 01:00:00,-1.5725,A
2021-01-03 02:00:00,-1.6813,A
2021-01-03 03:00:00,-1.8947,A
2021-01-03 04:00:00,-2.0547,A
2021-01-03 05:00:00,-1.7722,A
2021-01-03 06:00:00,-1.7434,A
2021-01-03 07:00:00,-1.5327,A
2021-01-03 08:00:00,-1.2614,A
2021-01-03 09:00:00,-0.8945,A
2021-01-03 10:00:00,-0.3998,A
2021-01-03 11:00:00,-0.0931,A
2021-01-03 12:00:00,0.1523,A
2021-01-03 13:00:00,0.6569,A
2021-01-03 14:00:00,0.7835,A
2021-01-03 15:00:00,1.0239,A
2021-01-03 16:00:00,0.9265,A
2021-01-03 17:00:00,0.8553,A
2021-01-03 18:00:00,0.8311,A
2021-01-03 19:00:00,0.5827,A
2021-01-03 20:00:00,0.2338,A
2021-01-03 21:00:00,0.3678,A
2021-01-03 22:00:00,-0.0003,A
2021-01-03 23:00:00,-0.2318,A
2021-01-04 00:00:00,-0.5331,A
2021-01-04 01:00:00,-0.5175,A
2021-01-04 02:00:00,-0.7591,A
2021-01-04 03:00:00,-0.5857,A
2021-01-04 04:00:00,-0.7152,A
2021-01-04 05:00:00,-0.4739,A
2021-01-04 06:00:00,-0.1919,A
